Finish Load the Training data and labels!!!
Finish Load the Training data and labels!!!
Train Epoch: 1 [10000/146292 (7%)]	Loss: 2.962062, Accu: 22.00%
Train Epoch: 1 [20000/146292 (14%)]	Loss: 2.830486, Accu: 20.00%
Train Epoch: 1 [30000/146292 (21%)]	Loss: 2.693146, Accu: 22.00%
Train Epoch: 1 [40000/146292 (27%)]	Loss: 2.535865, Accu: 28.00%
Train Epoch: 1 [50000/146292 (34%)]	Loss: 2.528825, Accu: 28.00%
Train Epoch: 1 [60000/146292 (41%)]	Loss: 2.443012, Accu: 24.00%
Train Epoch: 1 [70000/146292 (48%)]	Loss: 2.535027, Accu: 30.00%
Train Epoch: 1 [80000/146292 (55%)]	Loss: 2.054476, Accu: 36.00%
Train Epoch: 1 [90000/146292 (62%)]	Loss: 2.243217, Accu: 34.00%
Train Epoch: 1 [100000/146292 (68%)]	Loss: 2.411841, Accu: 32.00%
Train Epoch: 1 [110000/146292 (75%)]	Loss: 2.391151, Accu: 34.00%
Train Epoch: 1 [120000/146292 (82%)]	Loss: 2.339630, Accu: 46.00%
Train Epoch: 1 [130000/146292 (89%)]	Loss: 2.018816, Accu: 38.00%
Train Epoch: 1 [140000/146292 (96%)]	Loss: 2.063865, Accu: 44.00%

Test set (34543 samples): Average loss: 0.0496, Accuracy: 30.87%

Train Epoch: 2 [10000/146292 (7%)]	Loss: 1.812367, Accu: 50.00%
Train Epoch: 2 [20000/146292 (14%)]	Loss: 2.226570, Accu: 44.00%
Train Epoch: 2 [30000/146292 (21%)]	Loss: 2.370376, Accu: 32.00%
Train Epoch: 2 [40000/146292 (27%)]	Loss: 2.088174, Accu: 36.00%
Train Epoch: 2 [50000/146292 (34%)]	Loss: 2.377745, Accu: 42.00%
Train Epoch: 2 [60000/146292 (41%)]	Loss: 1.448382, Accu: 58.00%
Train Epoch: 2 [70000/146292 (48%)]	Loss: 2.098647, Accu: 44.00%
Train Epoch: 2 [80000/146292 (55%)]	Loss: 2.289032, Accu: 38.00%
Train Epoch: 2 [90000/146292 (62%)]	Loss: 1.798409, Accu: 38.00%
Train Epoch: 2 [100000/146292 (68%)]	Loss: 2.508403, Accu: 30.00%
Train Epoch: 2 [110000/146292 (75%)]	Loss: 2.001621, Accu: 40.00%
Train Epoch: 2 [120000/146292 (82%)]	Loss: 1.879815, Accu: 44.00%
Train Epoch: 2 [130000/146292 (89%)]	Loss: 2.239629, Accu: 36.00%
Train Epoch: 2 [140000/146292 (96%)]	Loss: 1.904376, Accu: 38.00%

Test set (34543 samples): Average loss: 0.0486, Accuracy: 33.15%

Train Epoch: 3 [10000/146292 (7%)]	Loss: 1.554228, Accu: 52.00%
Train Epoch: 3 [20000/146292 (14%)]	Loss: 1.958659, Accu: 40.00%
Train Epoch: 3 [30000/146292 (21%)]	Loss: 1.639842, Accu: 52.00%
Train Epoch: 3 [40000/146292 (27%)]	Loss: 1.821139, Accu: 44.00%
Train Epoch: 3 [50000/146292 (34%)]	Loss: 2.220439, Accu: 34.00%
Train Epoch: 3 [60000/146292 (41%)]	Loss: 2.214908, Accu: 32.00%
Train Epoch: 3 [70000/146292 (48%)]	Loss: 1.796307, Accu: 48.00%
Train Epoch: 3 [80000/146292 (55%)]	Loss: 1.635432, Accu: 48.00%
Train Epoch: 3 [90000/146292 (62%)]	Loss: 2.022437, Accu: 32.00%
Train Epoch: 3 [100000/146292 (68%)]	Loss: 1.699948, Accu: 48.00%
Train Epoch: 3 [110000/146292 (75%)]	Loss: 1.947362, Accu: 40.00%
Train Epoch: 3 [120000/146292 (82%)]	Loss: 1.725124, Accu: 50.00%
Train Epoch: 3 [130000/146292 (89%)]	Loss: 1.421914, Accu: 50.00%
Train Epoch: 3 [140000/146292 (96%)]	Loss: 1.574659, Accu: 56.00%

Test set (34543 samples): Average loss: 0.0471, Accuracy: 34.52%

Train Epoch: 4 [10000/146292 (7%)]	Loss: 1.788905, Accu: 46.00%
Train Epoch: 4 [20000/146292 (14%)]	Loss: 1.735320, Accu: 48.00%
Train Epoch: 4 [30000/146292 (21%)]	Loss: 1.570264, Accu: 56.00%
Train Epoch: 4 [40000/146292 (27%)]	Loss: 1.846277, Accu: 42.00%
Train Epoch: 4 [50000/146292 (34%)]	Loss: 1.892928, Accu: 42.00%
Train Epoch: 4 [60000/146292 (41%)]	Loss: 1.476628, Accu: 58.00%
Train Epoch: 4 [70000/146292 (48%)]	Loss: 1.636559, Accu: 56.00%
Train Epoch: 4 [80000/146292 (55%)]	Loss: 1.815659, Accu: 42.00%
Train Epoch: 4 [90000/146292 (62%)]	Loss: 1.319957, Accu: 56.00%
Train Epoch: 4 [100000/146292 (68%)]	Loss: 1.907841, Accu: 50.00%
Train Epoch: 4 [110000/146292 (75%)]	Loss: 1.857348, Accu: 52.00%
Train Epoch: 4 [120000/146292 (82%)]	Loss: 1.487985, Accu: 54.00%
Train Epoch: 4 [130000/146292 (89%)]	Loss: 1.861975, Accu: 42.00%
Train Epoch: 4 [140000/146292 (96%)]	Loss: 1.477900, Accu: 46.00%

Test set (34543 samples): Average loss: 0.0481, Accuracy: 34.21%

Train Epoch: 5 [10000/146292 (7%)]	Loss: 1.837503, Accu: 50.00%
Train Epoch: 5 [20000/146292 (14%)]	Loss: 1.096013, Accu: 64.00%
Train Epoch: 5 [30000/146292 (21%)]	Loss: 1.348289, Accu: 66.00%
Train Epoch: 5 [40000/146292 (27%)]	Loss: 1.487207, Accu: 52.00%
Train Epoch: 5 [50000/146292 (34%)]	Loss: 1.566641, Accu: 56.00%
Train Epoch: 5 [60000/146292 (41%)]	Loss: 1.889472, Accu: 42.00%
Train Epoch: 5 [70000/146292 (48%)]	Loss: 1.575877, Accu: 48.00%
Train Epoch: 5 [80000/146292 (55%)]	Loss: 1.666083, Accu: 54.00%
Train Epoch: 5 [90000/146292 (62%)]	Loss: 1.333925, Accu: 56.00%
Train Epoch: 5 [100000/146292 (68%)]	Loss: 1.665387, Accu: 58.00%
Train Epoch: 5 [110000/146292 (75%)]	Loss: 1.624306, Accu: 52.00%
Train Epoch: 5 [120000/146292 (82%)]	Loss: 1.298160, Accu: 56.00%
